"filename", "language", "JavaScript", "JSON with Comments", "XML", "Markdown", "CSS", "TypeScript JSX", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\chats\style.module.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\components\blackBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\components\offeringCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\home\style.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\login\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\login\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 9, 99
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\login\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\login\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\login\style.module.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 0, 3, 21
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\components\onboarding1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\components\onboarding2.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\components\onboarding3.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 100, 0, 0, 1, 6, 107
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\onboarding\style.module.css", "CSS", 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 166, 0, 0, 3, 11, 180
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 4
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\otp_verification\style.module.css", "CSS", 0, 0, 0, 0, 14, 0, 0, 0, 2, 1, 17
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 109, 0, 0, 0, 6, 115
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\state.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\register\style.module.css", "CSS", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\api.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\components\blackBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\components\offeringCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 99, 0, 0, 0, 4, 103
"c:\Users\user\Documents\Final year project\coding\wellighten_frontend\src\features\services\interface.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
